Stop Number,Total Routes,Description,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Route 10,Route 11,Route 12,Route 13
10390,0,19th Avenue & Holloway St
13379,2,19th Ave & Ortega St,91,28
13380,2,19th Ave & Ortega St,28,91
13384,3,19th Ave & Quintara St,28R,28,91
13383,3,19th Ave & Quintara St,28R,91,28
13387,1,19th Ave & Randolph St,M
13376,1,19th Ave & Randolph St,M
13385,3,19th Ave & Randolph St,M,M,M
13388,2,19th Ave & Rivera St,91,28
13389,2,19th Ave & Rivera St,28,91
13390,2,19th Ave & Sloat Blvd,28,91
13391,2,19th Ave & Sloat Blvd,91,28
13394,3,19th Ave & Taraval St,28R,91,28
13395,3,19th Ave & Taraval St,28R,28,91
13399,2,19th Ave & Vicente St,28,91
13398,2,19th Ave & Vicente St,91,28
13403,1,19th Ave & Winston Dr,M
17448,3,19th Ave & Winston Dr,28R,28,91
13402,3,19th Ave & Winston Dr,28R,91,28
17449,3,19th Ave & Winston Dr,M,M,M
17887,2,201 Bayshore Blvd E,90,9
13405,1,20th Ave & Buckingham Way,57
13404,1,20th Ave & Buckingham Way,57
17211,1,20th Ave/Stonestown Mall,57
13408,4,20th Ave & Winston Dr,18,57,18,58
13409,1,20th Ave & Winston Dr,57
13406,1,20th Av/Stonestown Mall,57
13410,0,20th St & 3rd St
13414,1,20th St & Collingwood St,35
13415,1,20th St & Eureka St,35
18064,1,20th St & Missouri St,55
18045,1,20th St & Missouri St,55
18046,1,20th St & Pennsylvania Ave,55
14162,1,210 Corbett Ave,37
14163,1,211 Corbett Ave,37
13424,1,21st St & Douglass St,35
16653,1,225 Telegraph Hill Blvd,39
16652,1,225 Telegraph Hill Blvd,39
13768,3,228 Bayshore Blvd,90,9,9
13425,1,22nd Ave & Irving St,7
13426,1,22nd Ave & Judah St,7
13427,1,22nd Ave & Kirkham St,7
13428,1,22nd Ave & Lawton St,7
13429,1,22nd Ave & Lincoln Way,7
13430,1,22nd Ave & Moraga St,7
13431,1,22nd Ave & Noriega St,7
18133,1,22nd St & Illinois St,48
13439,0,22nd St & Iowa St
13435,0,22nd St & Iowa St
13436,1,22nd St & Minnesota St,55
13437,2,22nd St & Minnesota St,55,48
13441,1,23rd Ave & Irving St,7
13442,1,23rd Ave & Judah St,7
13443,1,23rd Ave & Kirkham St,7
13444,1,23rd Ave & Lawton St,7
13445,1,23rd Ave & Lincoln Way,7
13446,1,23rd Ave & Moraga St,7
13447,1,23rd Ave & Noriega St,7
18134,1,23rd St & 3rd St,48
13450,0,23rd St & Kansas St
13452,2,23rd St & Rhode Island St,48,19
13454,1,23rd St & Utah St,48
13453,3,23rd St & Utah St,48,48,48
13456,1,23rd St & Vermont St,48
13455,3,23rd St & Vermont St,48,48,48
13458,3,24th St & Bryant St,48,48,48
13459,1,24th St & Bryant St,48
13463,1,24th St & Castro St,48
13462,0,24th St & Castro St
13461,1,24th St & Church St,48
13460,3,24th St & Church St,48,48,48
13465,1,24th St & Diamond St,35
13467,1,24th St & Dolores St,48
13466,3,24th St & Dolores St,48,48,48
13468,1,24th St & Douglass St,35
13470,1,24th St & Folsom St,48
13469,4,24th St & Folsom St,48,67,48,48
13472,1,24th St & Guerrero St,48
13471,3,24th St & Guerrero St,48,48,48
13474,1,24th St & Harrison St,48
13473,3,24th St & Harrison St,48,48,48
13475,1,24th St & Hoffman Ave,35
13477,0,24th St & Mission St
13476,0,24th St & Mission St
13478,3,24th St & Noe St,48,48,48
17263,1,24th St & Noe St,48
13480,3,24th St & Potrero Ave,48,48,48
13482,1,24th St & Sanchez St,48
13481,3,24th St & Sanchez St,48,48,48
13484,1,24th St & South Van Ness Ave,48
13483,4,24th St & South Van Ness Ave,48,67,48,48
13485,3,24th St & Valencia St,48,48,48
13486,1,24th St & Valencia St,48
13489,1,25th Ave & Balboa St,29
13490,2,25th Ave & Balboa St,29,29
13491,0,25th Ave & California St
13492,2,25th Ave & California St,29,29
18135,0,25th Ave & California St
13496,2,25th Ave & Clement St,29,29
13495,1,25th Ave & Clement St,29
13497,2,25th Ave & El Camino Del Mar,29,29
13498,2,25th Ave & El Camino Del Mar,29,29
13499,1,25th Ave & Fulton St,29
13500,1,25th Ave & Geary Blvd,29
13501,2,25th Ave & Geary Blvd,29,29
17525,1,25th Avenue & Dakota Street,48
13505,2,25th St & Connecticut St,19,48
13504,3,25th St & Connecticut St,48,48,48
13507,3,25th St & Dakota St,48,48,48
13510,0,25th St & Noe St
13511,0,25th St & Potrero Ave
13512,3,25th St & Wisconsin St,48,48,48
13514,2,26th St & Castro St,24,24
13517,2,26th St & De Haro St,19,48
13516,4,26th St & De Haro St,48,48,19,48
13520,2,26th St & Noe St,24,24
13521,2,26th St & Noe St,24,24
13522,4,26th St & Rhode Island St,48,48,19,48
13524,4,26th St & Wisconsin St,48,48,19,48
16321,1,274 Sagamore St,54
13801,1,280 Buckingham Way,57
13802,1,281 Buckingham Way,57
13525,1,29th Ave & Vicente St,66
17836,0,30th Ave & Geary Blvd
13526,1,30th Ave & Quintara St,66
13527,1,30th Ave & Quintara St,66
13528,1,30th Ave & Rivera St,66
